업종별(1),업종별(2),지역별(1),2016,2017,2018,2019,2020
합계,소계,소계,1190177,1256267,1344366,1285259,1484667
합계,소계,서울,240617,249581,289280,262970,309896
합계,소계,부산,72442,75142,75496,74132,86597
합계,소계,대구,49924,50295,51313,51445,55782
합계,소계,인천,68527,75594,79350,79719,97059
합계,소계,광주,31763,33377,35627,35065,39333
합계,소계,대전,31063,31953,32967,33628,39330
합계,소계,울산,24499,24833,23080,22760,25388
합계,소계,세종,9562,10392,9737,8846,10555
합계,소계,경기,321234,344860,378899,361001,431992
합계,소계,강원,34694,35629,36335,35468,41330
합계,소계,충북,34382,34656,35704,36830,40749
합계,소계,충남,46162,49836,51567,51032,58116
합계,소계,전북,37040,45253,48441,44073,46748
합계,소계,전남,37526,42683,45682,42854,46390
합계,소계,경북,54948,56951,57272,56002,58749
합계,소계,경남,74318,73530,71525,69496,75084
합계,소계,제주,21476,21702,22091,19938,21569
합계, 기술기반업종,소계,190674,198911,212237,220607,228949
합계, 기술기반업종,서울,48158,49332,51615,53568,55049
합계, 기술기반업종,부산,10833,10899,11194,11598,11211
합계, 기술기반업종,대구,7898,8358,8313,8263,7917
합계, 기술기반업종,인천,9655,10101,10694,11359,11377
합계, 기술기반업종,광주,4692,4971,5247,5424,5307
합계, 기술기반업종,대전,4711,4770,5078,5300,5336
합계, 기술기반업종,울산,4121,3901,4016,3991,3733
합계, 기술기반업종,세종,1089,1413,1581,1737,1630
합계, 기술기반업종,경기,52441,57175,64449,67955,76709
합계, 기술기반업종,강원,3498,3688,3678,4163,4951
합계, 기술기반업종,충북,4642,4777,5301,5325,5444
합계, 기술기반업종,충남,6199,7007,7063,7071,7453
합계, 기술기반업종,전북,4755,4598,5016,5328,5479
합계, 기술기반업종,전남,4494,4508,5134,5276,5089
합계, 기술기반업종,경북,8190,8254,8586,8519,8002
합계, 기술기반업종,경남,13378,12965,13011,13322,11824
합계, 기술기반업종,제주,1920,2194,2261,2408,2438
"농업, 임업 및 어업 및 광업",소계,소계,10296,10885,10709,11990,13094
"농업, 임업 및 어업 및 광업",소계,서울,83,110,112,92,97
"농업, 임업 및 어업 및 광업",소계,부산,111,178,143,170,224
"농업, 임업 및 어업 및 광업",소계,대구,47,76,60,100,89
"농업, 임업 및 어업 및 광업",소계,인천,224,260,237,193,238
"농업, 임업 및 어업 및 광업",소계,광주,47,58,42,97,237
"농업, 임업 및 어업 및 광업",소계,대전,45,62,59,63,69
"농업, 임업 및 어업 및 광업",소계,울산,87,120,129,111,173
"농업, 임업 및 어업 및 광업",소계,세종,43,45,34,51,76
"농업, 임업 및 어업 및 광업",소계,경기,1426,1478,1398,1578,1692
"농업, 임업 및 어업 및 광업",소계,강원,702,826,710,887,972
"농업, 임업 및 어업 및 광업",소계,충북,522,507,517,628,710
"농업, 임업 및 어업 및 광업",소계,충남,1049,1159,1130,1321,1503
"농업, 임업 및 어업 및 광업",소계,전북,805,856,885,915,1007
"농업, 임업 및 어업 및 광업",소계,전남,1924,1868,1896,1914,1929
"농업, 임업 및 어업 및 광업",소계,경북,1110,1262,1334,1614,1692
"농업, 임업 및 어업 및 광업",소계,경남,1686,1637,1618,1730,1772
"농업, 임업 및 어업 및 광업",소계,제주,385,383,405,526,614
제조업,소계,소계,58742,58015,57325,52317,49928
제조업,소계,서울,7651,7649,7411,6494,6225
제조업,소계,부산,3535,3349,3327,3168,2817
제조업,소계,대구,2774,2963,2672,2406,2187
제조업,소계,인천,3150,3203,3141,2748,2668
제조업,소계,광주,1247,1300,1235,1187,1075
제조업,소계,대전,1030,1059,1112,1065,1030
제조업,소계,울산,1555,1283,1329,1289,1100
제조업,소계,세종,187,212,219,191,209
제조업,소계,경기,18379,18429,18216,16372,16571
제조업,소계,강원,991,977,940,967,949
제조업,소계,충북,1927,1965,1994,1803,1808
제조업,소계,충남,2635,2728,2559,2478,2474
